scope,predictor,outcome,n_successors,pooled_fixed_effect_residual_spearman_rho,median_board_spearman_rho,minimum_board_spearman_rho,maximum_board_spearman_rho,board_rhos,interpretation
primary_successors_slow_medium_only,log_predecessor_duration_s,forward_throughput,249,-0.03827438787407695,-0.05153016246169346,-0.06101758952185046,0.022438184794928845,Clone1:-0.0515301625|Clone2:0.0224381848|Clone3:-0.0610175895,descriptive rank association after residualizing both predictor and successor outcome for configuration and physical-board block; no p value or causal claim
primary_successors_slow_medium_only,log_predecessor_duration_s,logged_energy_per_evaluated_image,249,0.05814924212980956,0.07613030519289701,-0.03847445531253935,0.19696906091264008,Clone1:0.196969061|Clone2:-0.0384744553|Clone3:0.0761303052,descriptive rank association after residualizing both predictor and successor outcome for configuration and physical-board block; no p value or causal claim
primary_successors_slow_medium_only,log_predecessor_duration_s,logged_window_throughput,249,-0.13803264671589585,-0.12085974560261951,-0.23588430376558497,-0.06227698249443769,Clone1:-0.235884304|Clone2:-0.0622769825|Clone3:-0.120859746,descriptive rank association after residualizing both predictor and successor outcome for configuration and physical-board block; no p value or causal claim
primary_successors_slow_medium_only,log_predecessor_duration_s,average_input_power,249,-0.14063427905169062,-0.16393098526510222,-0.20945804122412995,-0.07445111456278074,Clone1:-0.0744511146|Clone2:-0.209458041|Clone3:-0.163930985,descriptive rank association after residualizing both predictor and successor outcome for configuration and physical-board block; no p value or causal claim
primary_successors_slow_medium_only,log_predecessor_duration_s,logged_duration,249,0.13803264671589585,0.12085974560261951,0.06227698249443769,0.23588430376558497,Clone1:0.235884304|Clone2:0.0622769825|Clone3:0.120859746,descriptive rank association after residualizing both predictor and successor outcome for configuration and physical-board block; no p value or causal claim
primary_successors_slow_medium_only,log_predecessor_duration_s,start_temperature,249,-0.24754148757929872,-0.3110402115834121,-0.34618613828134837,-0.08998410008152564,Clone1:-0.0899841001|Clone2:-0.311040212|Clone3:-0.346186138,descriptive rank association after residualizing both predictor and successor outcome for configuration and physical-board block; no p value or causal claim
primary_successors_slow_medium_only,log_predecessor_duration_s,maximum_temperature,249,-0.06440264282938205,-0.11044876369589857,-0.19415641660719532,0.11584316359514714,Clone1:0.115843164|Clone2:-0.194156417|Clone3:-0.110448764,descriptive rank association after residualizing both predictor and successor outcome for configuration and physical-board block; no p value or causal claim
primary_successors_slow_medium_only,predecessor_max_temperature_C,forward_throughput,249,0.0037217256121259224,-0.006695772637588682,-0.10748919021031861,0.17616808698207462,Clone1:-0.10748919|Clone2:-0.00669577264|Clone3:0.176168087,descriptive rank association after residualizing both predictor and successor outcome for configuration and physical-board block; no p value or causal claim
primary_successors_slow_medium_only,predecessor_max_temperature_C,logged_energy_per_evaluated_image,249,0.06324212980956083,0.13794551026405272,-0.07850216195793627,0.17010201083077953,Clone1:0.170102011|Clone2:0.13794551|Clone3:-0.078502162,descriptive rank association after residualizing both predictor and successor outcome for configuration and physical-board block; no p value or causal claim
primary_successors_slow_medium_only,predecessor_max_temperature_C,logged_window_throughput,249,0.022748542557326078,0.007304479241005835,-0.045673985139162925,0.15146299483648878,Clone1:0.00730447924|Clone2:-0.0456739851|Clone3:0.151462995,descriptive rank association after residualizing both predictor and successor outcome for configuration and physical-board block; no p value or causal claim
primary_successors_slow_medium_only,predecessor_max_temperature_C,average_input_power,249,0.21700816167897397,0.2162587632761009,0.2129633516644977,0.30305192897023636,Clone1:0.216258763|Clone2:0.303051929|Clone3:0.212963352,descriptive rank association after residualizing both predictor and successor outcome for configuration and physical-board block; no p value or causal claim
primary_successors_slow_medium_only,predecessor_max_temperature_C,logged_duration,249,-0.022748542557326078,-0.007304479241005835,-0.15146299483648878,0.045673985139162925,Clone1:-0.00730447924|Clone2:0.0456739851|Clone3:-0.151462995,descriptive rank association after residualizing both predictor and successor outcome for configuration and physical-board block; no p value or causal claim
primary_successors_slow_medium_only,predecessor_max_temperature_C,start_temperature,249,0.7975261552764518,0.8015658534903899,0.7501364342386969,0.8372698316193088,Clone1:0.837269832|Clone2:0.801565853|Clone3:0.750136434,descriptive rank association after residualizing both predictor and successor outcome for configuration and physical-board block; no p value or causal claim
primary_successors_slow_medium_only,predecessor_max_temperature_C,maximum_temperature,249,0.5807306645938592,0.5573233701355946,0.5498929515973301,0.62180429033206,Clone1:0.62180429|Clone2:0.549892952|Clone3:0.55732337,descriptive rank association after residualizing both predictor and successor outcome for configuration and physical-board block; no p value or causal claim
