dataset,line,run_id,status,attempt,ts,attempts,duration_s
fixed_2026-03,59,mobilenet_v2_fp16_medium_BS128,running,1.0,1773322804.1578343,,
fixed_2026-03,60,mobilenet_v2_fp16_medium_BS128,done,,1773323711.5074604,1.0,907.342
fixed_2026-03,61,mobilenet_v2_fp32_medium_BS32,running,1.0,1773323711.509276,,
fixed_2026-03,62,mobilenet_v2_fp32_medium_BS32,done,,1773324757.4730673,1.0,1045.955
fixed_2026-03,63,mobilenet_v2_fp32_medium_BS64,running,1.0,1773324757.473837,,
fixed_2026-03,64,mobilenet_v2_fp32_medium_BS64,done,,1773325777.6069875,1.0,1020.123
fixed_2026-03,65,mobilenet_v2_fp32_medium_BS128,running,1.0,1773325777.6083868,,
fixed_2026-03,66,mobilenet_v2_fp32_medium_BS128,done,,1773326794.115083,1.0,1016.497
fixed_2026-03,67,mobilenet_v2_fp64_medium_BS32,running,1.0,1773326794.1161633,,
fixed_2026-03,68,mobilenet_v2_fp64_medium_BS32,done,,1773329790.3063636,1.0,2996.168
fixed_2026-03,69,mobilenet_v2_fp64_medium_BS64,running,1.0,1773329790.3074884,,
fixed_2026-03,70,mobilenet_v2_fp64_medium_BS64,done,,1773333037.8375072,1.0,3247.507
fixed_2026-03,71,mobilenet_v2_fp64_medium_BS128,running,1.0,1773333037.8449144,,
fixed_2026-03,72,mobilenet_v2_fp64_medium_BS128,done,,1773337190.8612492,1.0,4152.98
fixed_2026-03,73,resnet50_fp16_fast_BS32,running,1.0,1773337190.8699791,,
fixed_2026-03,74,resnet50_fp16_fast_BS32,done,,1773338158.4094074,1.0,967.535
fixed_2026-03,75,resnet50_fp16_fast_BS64,running,1.0,1773338158.4101572,,
fixed_2026-03,76,resnet50_fp16_fast_BS64,done,,1773339129.4222243,1.0,971.008
fixed_2026-03,77,resnet50_fp16_fast_BS128,running,1.0,1773339129.4226038,,
fixed_2026-03,78,resnet50_fp16_fast_BS128,done,,1773340107.0057974,1.0,977.578
fixed_2026-03,79,resnet50_fp32_fast_BS32,running,1.0,1773340107.0074382,,
fixed_2026-03,80,resnet50_fp32_fast_BS32,done,,1773341425.5998182,1.0,1318.585
fixed_2026-03,81,resnet50_fp32_fast_BS64,running,1.0,1773341425.6006682,,
fixed_2026-03,82,resnet50_fp32_fast_BS64,done,,1773342750.0190203,1.0,1324.411
fixed_2026-03,83,resnet50_fp32_fast_BS128,running,1.0,1773342750.0197935,,
fixed_2026-03,84,resnet50_fp32_fast_BS128,done,,1773344121.1505132,1.0,1371.118
fixed_2026-03,85,resnet50_fp64_fast_BS32,running,1.0,1773344121.1513205,,
fixed_2026-03,86,resnet50_fp64_fast_BS32,done,,1773367234.3211358,1.0,23113.08
fixed_2026-03,87,resnet50_fp64_fast_BS64,running,1.0,1773367234.3220189,,
fixed_2026-03,88,resnet50_fp64_fast_BS64,done,,1773391066.2838876,1.0,23831.86
fixed_2026-03,89,resnet50_fp64_fast_BS128,running,1.0,1773391066.2903924,,
fixed_2026-03,90,resnet50_fp64_fast_BS128,done,,1773418333.645844,1.0,27267.235
fixed_2026-03,91,mobilenet_v2_fp16_fast_BS32,running,1.0,1773418333.6538188,,
fixed_2026-03,92,mobilenet_v2_fp16_fast_BS32,done,,1773419158.7143576,1.0,825.056
fixed_2026-03,93,mobilenet_v2_fp16_fast_BS64,running,1.0,1773419158.7152555,,
fixed_2026-03,94,mobilenet_v2_fp16_fast_BS64,done,,1773419980.564659,1.0,821.833
fixed_2026-03,95,mobilenet_v2_fp16_fast_BS128,running,1.0,1773419980.5654507,,
fixed_2026-03,96,mobilenet_v2_fp16_fast_BS128,done,,1773420802.8999956,1.0,822.33
fixed_2026-03,97,mobilenet_v2_fp32_fast_BS32,running,1.0,1773420802.9008574,,
fixed_2026-03,98,mobilenet_v2_fp32_fast_BS32,done,,1773421726.3157604,1.0,923.411
fixed_2026-03,99,mobilenet_v2_fp32_fast_BS64,running,1.0,1773421726.3162127,,
fixed_2026-03,100,mobilenet_v2_fp32_fast_BS64,done,,1773422666.699772,1.0,940.379
fixed_2026-03,101,mobilenet_v2_fp32_fast_BS128,running,1.0,1773422666.7005532,,
fixed_2026-03,102,mobilenet_v2_fp32_fast_BS128,done,,1773423624.0306253,1.0,957.325
fixed_2026-03,103,mobilenet_v2_fp64_fast_BS32,running,1.0,1773423624.031378,,
fixed_2026-03,104,mobilenet_v2_fp64_fast_BS32,done,,1773426510.522774,1.0,2886.479
fixed_2026-03,105,mobilenet_v2_fp64_fast_BS64,running,1.0,1773426510.5235581,,
fixed_2026-03,106,mobilenet_v2_fp64_fast_BS64,done,,1773429639.2133353,1.0,3128.677
fixed_2026-03,107,mobilenet_v2_fp64_fast_BS128,running,1.0,1773429639.214109,,
fixed_2026-03,108,mobilenet_v2_fp64_fast_BS128,done,,1773433267.789423,1.0,3628.548
random_2026-03,1,resnet50_fp16_fast_BS128,running,1.0,1773656324.2037437,,
random_2026-03,2,resnet50_fp16_fast_BS128,done,,1773657082.1262813,1.0,757.918
random_2026-03,3,mobilenet_v2_fp64_fast_BS32,running,1.0,1773657082.1269853,,
random_2026-03,4,mobilenet_v2_fp64_fast_BS32,done,,1773659355.6667418,1.0,2273.53
random_2026-03,5,mobilenet_v2_fp32_slow_BS64,running,1.0,1773659355.6673584,,
random_2026-03,6,mobilenet_v2_fp32_slow_BS64,done,,1773660791.9595876,1.0,1436.282
random_2026-03,7,resnet50_fp16_medium_BS128,running,1.0,1773660791.9603934,,
random_2026-03,8,resnet50_fp16_medium_BS128,done,,1773661701.1562657,1.0,909.191
random_2026-03,9,resnet50_fp16_fast_BS32,running,1.0,1773661701.1569486,,
random_2026-03,10,resnet50_fp16_fast_BS32,done,,1773662571.9040027,1.0,870.741
random_2026-03,11,mobilenet_v2_fp32_fast_BS128,running,1.0,1773662571.904668,,
random_2026-03,12,mobilenet_v2_fp32_fast_BS128,done,,1773663436.5278463,1.0,864.619
random_2026-03,13,mobilenet_v2_fp32_medium_BS64,running,1.0,1773663436.528466,,
random_2026-03,14,mobilenet_v2_fp32_medium_BS64,done,,1773664331.913932,1.0,895.382
random_2026-03,15,resnet50_fp32_medium_BS128,running,1.0,1773664331.9143324,,
random_2026-03,16,resnet50_fp32_medium_BS128,done,,1773665605.0007033,1.0,1273.07
random_2026-03,17,mobilenet_v2_fp64_slow_BS64,running,1.0,1773665605.001594,,
random_2026-03,18,mobilenet_v2_fp64_slow_BS64,done,,1773671447.1075072,1.0,5842.068
random_2026-03,19,mobilenet_v2_fp16_slow_BS128,running,1.0,1773671447.1084976,,
random_2026-03,20,mobilenet_v2_fp16_slow_BS128,done,,1773672681.7650304,1.0,1234.646
random_2026-03,21,mobilenet_v2_fp32_fast_BS32,running,1.0,1773672681.765701,,
random_2026-03,22,mobilenet_v2_fp32_fast_BS32,done,,1773674066.27907,1.0,1384.504
random_2026-03,23,resnet50_fp64_slow_BS64,running,1.0,1773674066.2802489,,
random_2026-03,24,resnet50_fp64_slow_BS64,done,,1773721025.5821548,1.0,46959.015
random_2026-03,25,resnet50_fp64_fast_BS128,running,1.0,1773721025.5832424,,
random_2026-03,26,resnet50_fp64_fast_BS128,done,,1773768603.5399997,1.0,47577.646
random_2026-03,27,mobilenet_v2_fp16_fast_BS128,running,1.0,1773768603.5417724,,
random_2026-03,28,mobilenet_v2_fp16_fast_BS128,done,,1773769840.085426,1.0,1236.535
random_2026-03,29,resnet50_fp32_medium_BS64,running,1.0,1773769840.0863786,,
random_2026-03,30,resnet50_fp32_medium_BS64,done,,1773771156.3722544,1.0,1316.277
random_2026-03,31,mobilenet_v2_fp16_slow_BS32,running,1.0,1773771156.3728747,,
random_2026-03,32,mobilenet_v2_fp16_slow_BS32,done,,1773772379.3079882,1.0,1222.925
random_2026-03,33,mobilenet_v2_fp32_medium_BS32,running,1.0,1773772379.3088093,,
random_2026-03,34,mobilenet_v2_fp32_medium_BS32,done,,1773773376.811652,1.0,997.494
random_2026-03,35,resnet50_fp16_medium_BS32,running,1.0,1773773376.8123968,,
random_2026-03,36,resnet50_fp16_medium_BS32,done,,1773774410.1916769,1.0,1033.374
random_2026-03,37,resnet50_fp32_slow_BS64,running,1.0,1773774410.2119157,,
random_2026-03,38,resnet50_fp32_slow_BS64,done,,1773776543.115909,1.0,2132.888
random_2026-03,39,resnet50_fp64_medium_BS64,running,1.0,1773776543.117081,,
random_2026-03,40,resnet50_fp64_medium_BS64,done,,1773800374.979873,1.0,23831.755
random_2026-03,41,resnet50_fp16_slow_BS64,running,1.0,1773800374.9808059,,
random_2026-03,42,resnet50_fp16_slow_BS64,done,,1773801856.913066,1.0,1481.922
random_2026-03,43,resnet50_fp32_fast_BS64,running,1.0,1773801856.9139338,,
random_2026-03,44,resnet50_fp32_fast_BS64,done,,1773803978.6740425,1.0,2121.746
random_2026-03,45,mobilenet_v2_fp32_slow_BS128,running,1.0,1773803978.675056,,
random_2026-03,46,mobilenet_v2_fp32_slow_BS128,done,,1773805412.8287678,1.0,1434.14
random_2026-03,47,mobilenet_v2_fp64_medium_BS32,running,1.0,1773805412.8301647,,
random_2026-03,48,mobilenet_v2_fp64_medium_BS32,done,,1773808371.0298626,1.0,2958.183
random_2026-03,49,mobilenet_v2_fp32_medium_BS128,running,1.0,1773808371.0302048,,
random_2026-03,50,mobilenet_v2_fp32_medium_BS128,done,,1773809310.9147818,1.0,939.877
random_2026-03,51,mobilenet_v2_fp16_medium_BS128,running,1.0,1773809310.9157338,,
random_2026-03,52,mobilenet_v2_fp16_medium_BS128,done,,1773810154.2416198,1.0,843.32
random_2026-03,53,mobilenet_v2_fp32_slow_BS32,running,1.0,1773810154.2421086,,
random_2026-03,54,mobilenet_v2_fp32_slow_BS32,done,,1773811552.3748868,1.0,1398.123
random_2026-03,55,resnet50_fp16_medium_BS64,running,1.0,1773811552.376206,,
random_2026-03,56,resnet50_fp16_medium_BS64,done,,1773812550.1252081,1.0,997.743
random_2026-03,57,mobilenet_v2_fp16_medium_BS64,running,1.0,1773812550.1257362,,
random_2026-03,58,mobilenet_v2_fp16_medium_BS64,done,,1773813404.5326018,1.0,854.4
random_2026-03,59,mobilenet_v2_fp16_fast_BS64,running,1.0,1773813404.5335577,,
random_2026-03,60,mobilenet_v2_fp16_fast_BS64,done,,1773814181.5155318,1.0,776.978
random_2026-03,61,mobilenet_v2_fp16_fast_BS32,running,1.0,1773814181.5158446,,
random_2026-03,62,mobilenet_v2_fp16_fast_BS32,done,,1773814940.3876429,1.0,758.868
random_2026-03,63,mobilenet_v2_fp16_medium_BS32,running,1.0,1773814940.3897843,,
random_2026-03,64,mobilenet_v2_fp16_medium_BS32,done,,1773815764.5258324,1.0,824.131
random_2026-03,65,resnet50_fp16_slow_BS32,running,1.0,1773815764.5267112,,
random_2026-03,66,resnet50_fp16_slow_BS32,done,,1773817225.0897088,1.0,1460.551
random_2026-03,67,resnet50_fp32_fast_BS32,running,1.0,1773817225.090802,,
random_2026-03,68,resnet50_fp32_fast_BS32,done,,1773819348.3682632,1.0,2123.262
random_2026-03,69,mobilenet_v2_fp64_slow_BS32,running,1.0,1773819348.3694425,,
random_2026-03,70,mobilenet_v2_fp64_slow_BS32,done,,1773824719.470265,1.0,5371.033
random_2026-03,71,resnet50_fp16_fast_BS64,running,1.0,1773824719.4900355,,
random_2026-03,72,resnet50_fp16_fast_BS64,done,,1773826193.6060855,1.0,1474.106
random_2026-03,73,resnet50_fp64_fast_BS64,running,1.0,1773826193.6065817,,
random_2026-03,74,resnet50_fp64_fast_BS64,done,,1773873153.2817903,1.0,46959.384
random_2026-03,75,resnet50_fp32_fast_BS128,running,1.0,1773873153.2827744,,
random_2026-03,76,resnet50_fp32_fast_BS128,done,,1773875351.7907848,1.0,2198.483
random_2026-03,77,resnet50_fp64_slow_BS128,running,1.0,1773875351.7917209,,
random_2026-03,78,resnet50_fp64_slow_BS128,done,,1773924228.3448431,1.0,48876.204
random_2026-03,79,mobilenet_v2_fp16_slow_BS64,running,1.0,1773924228.3469086,,
random_2026-03,80,mobilenet_v2_fp16_slow_BS64,done,,1773925468.1085393,1.0,1239.753
random_2026-03,81,mobilenet_v2_fp64_fast_BS128,running,1.0,1773925468.1096091,,
random_2026-03,82,mobilenet_v2_fp64_fast_BS128,done,,1773931613.0784602,1.0,6144.915
random_2026-03,83,resnet50_fp64_fast_BS32,running,1.0,1773931613.0802405,,
random_2026-03,84,resnet50_fp64_fast_BS32,done,,1773977161.0443106,1.0,45547.671
random_2026-03,85,resnet50_fp32_medium_BS32,running,1.0,1773977161.0458345,,
random_2026-03,86,resnet50_fp32_medium_BS32,done,,1773978524.4837584,1.0,1363.431
random_2026-03,87,mobilenet_v2_fp64_medium_BS128,running,1.0,1773978524.484286,,
random_2026-03,88,mobilenet_v2_fp64_medium_BS128,done,,1773981859.160995,1.0,3334.644
random_2026-03,89,mobilenet_v2_fp64_medium_BS64,running,1.0,1773981859.162792,,
random_2026-03,90,mobilenet_v2_fp64_medium_BS64,done,,1773985050.648008,1.0,3191.459
random_2026-03,91,resnet50_fp64_medium_BS32,running,1.0,1773985050.6495008,,
random_2026-03,92,resnet50_fp64_medium_BS32,done,,1774008204.8647394,1.0,23154.111
random_2026-03,93,resnet50_fp16_slow_BS128,running,1.0,1774008204.8660274,,
random_2026-03,94,resnet50_fp16_slow_BS128,done,,1774009693.836197,1.0,1488.958
random_2026-03,95,resnet50_fp64_slow_BS32,running,1.0,1774009693.8375876,,
random_2026-03,96,resnet50_fp64_slow_BS32,done,,1774055247.8383067,1.0,45553.713
random_2026-03,97,mobilenet_v2_fp64_fast_BS64,running,1.0,1774055247.839675,,
random_2026-03,98,mobilenet_v2_fp64_fast_BS64,done,,1774061085.613791,1.0,5837.729
random_2026-03,99,resnet50_fp64_medium_BS128,running,1.0,1774061085.6158924,,
random_2026-03,100,resnet50_fp64_medium_BS128,done,,1774087969.8922098,1.0,26884.145
random_2026-03,101,mobilenet_v2_fp32_fast_BS64,running,1.0,1774087969.8940585,,
random_2026-03,102,mobilenet_v2_fp32_fast_BS64,done,,1774088873.9621797,1.0,904.053
random_2026-03,103,resnet50_fp32_slow_BS128,running,1.0,1774088873.9629383,,
random_2026-03,104,resnet50_fp32_slow_BS128,done,,1774091076.8774917,1.0,2202.898
random_2026-03,105,mobilenet_v2_fp64_slow_BS128,running,1.0,1774091076.8784492,,
random_2026-03,106,mobilenet_v2_fp64_slow_BS128,done,,1774097302.9308057,1.0,6225.998
random_2026-03,107,resnet50_fp32_slow_BS32,running,1.0,1774097302.9324625,,
random_2026-03,108,resnet50_fp32_slow_BS32,done,,1774099456.5418217,1.0,2153.595
Clone1,1,resnet50_fp32_slow_BS8,running,1.0,1782845232.4474385,,
Clone1,2,resnet50_fp32_slow_BS8,done,,1782847558.0688913,1.0,2325.602
Clone1,3,resnet50_fp16_fast_BS128,running,1.0,1782847558.0700676,,
Clone1,4,resnet50_fp16_fast_BS128,done,,1782849042.1104386,1.0,1484.014
Clone1,5,resnet50_fp64_fast_BS8,running,1.0,1782849042.1179512,,
Clone1,6,resnet50_fp64_fast_BS8,done,,1782894168.717674,1.0,45126.319
Clone1,7,mobilenet_v2_fp32_medium_BS128,running,1.0,1782894168.7182426,,
Clone1,8,mobilenet_v2_fp32_medium_BS128,done,,1782895148.1907253,1.0,979.465
Clone1,9,resnet50_fp32_medium_BS1,running,1.0,1782895148.1912735,,
Clone1,10,resnet50_fp32_medium_BS1,done,,1782897371.261769,1.0,2223.056
Clone1,11,resnet50_fp64_slow_BS8,running,1.0,1782897371.2623923,,
Clone1,12,resnet50_fp64_slow_BS8,done,,1782942488.384081,1.0,45116.842
Clone1,13,resnet50_fp64_medium_BS128,running,1.0,1782942488.3851287,,
Clone1,14,resnet50_fp64_medium_BS128,done,,1782966463.873531,1.0,23975.362
Clone1,15,resnet50_fp64_fast_BS16,running,1.0,1782966463.8746588,,
Clone1,16,resnet50_fp64_fast_BS16,done,,1782987966.8072762,1.0,21502.845
Clone1,17,resnet50_fp64_fast_BS32,running,1.0,1782987966.8081806,,
Clone1,18,resnet50_fp64_fast_BS32,done,,1783010995.3622282,1.0,23028.46
Clone1,19,mobilenet_v2_fp64_fast_BS128,running,1.0,1783010995.3629262,,
Clone1,20,mobilenet_v2_fp64_fast_BS128,done,,1783014273.5555859,1.0,3278.136
Clone1,21,resnet50_fp16_medium_BS64,running,1.0,1783014273.5567226,,
Clone1,22,resnet50_fp16_medium_BS64,done,,1783015264.7705266,1.0,991.209
Clone1,23,mobilenet_v2_fp16_slow_BS1,running,1.0,1783015264.7711408,,
Clone1,24,mobilenet_v2_fp16_slow_BS1,done,,1783018570.2365217,1.0,3305.444
Clone1,25,mobilenet_v2_fp32_slow_BS8,running,1.0,1783018570.2370503,,
Clone1,26,mobilenet_v2_fp32_slow_BS8,done,,1783020078.0447242,1.0,1507.797
Clone1,27,resnet50_fp16_fast_BS4,running,1.0,1783020078.0459492,,
Clone1,28,resnet50_fp16_fast_BS4,done,,1783021724.1780567,1.0,1646.121
Clone1,29,mobilenet_v2_fp32_slow_BS32,running,1.0,1783021724.1784868,,
Clone1,30,mobilenet_v2_fp32_slow_BS32,done,,1783023133.1974847,1.0,1409.003
Clone1,31,resnet50_fp32_medium_BS4,running,1.0,1783023133.1992161,,
Clone1,32,resnet50_fp32_medium_BS4,done,,1783024886.9147565,1.0,1753.704
Clone1,33,mobilenet_v2_fp16_medium_BS1,running,1.0,1783024886.9158385,,
Clone1,34,mobilenet_v2_fp16_medium_BS1,done,,1783027248.016709,1.0,2361.088
Clone1,35,mobilenet_v2_fp64_fast_BS4,running,1.0,1783027248.0178363,,
Clone1,36,mobilenet_v2_fp64_fast_BS4,done,,1783030541.927146,1.0,3293.892
Clone1,37,mobilenet_v2_fp32_fast_BS8,running,1.0,1783030541.9281487,,
Clone1,38,mobilenet_v2_fp32_fast_BS8,done,,1783031452.637033,1.0,910.704
Clone1,39,resnet50_fp64_slow_BS32,running,1.0,1783031452.6377578,,
Clone1,40,resnet50_fp64_slow_BS32,done,,1783077004.9258728,1.0,45552.007
Clone1,41,mobilenet_v2_fp32_medium_BS32,running,1.0,1783077004.9269636,,
Clone1,42,mobilenet_v2_fp32_medium_BS32,done,,1783077960.7560983,1.0,955.825
Clone1,43,resnet50_fp16_slow_BS8,running,1.0,1783077960.7564857,,
Clone1,44,resnet50_fp16_slow_BS8,done,,1783079620.9412222,1.0,1660.173
Clone1,45,mobilenet_v2_fp16_medium_BS16,running,1.0,1783079620.9421737,,
Clone1,46,mobilenet_v2_fp16_medium_BS16,done,,1783080500.865652,1.0,879.919
Clone1,47,mobilenet_v2_fp64_medium_BS8,running,1.0,1783080500.8663595,,
Clone1,48,mobilenet_v2_fp64_medium_BS8,done,,1783083684.9168844,1.0,3184.034
Clone1,49,mobilenet_v2_fp64_slow_BS4,running,1.0,1783083684.9177225,,
Clone1,50,mobilenet_v2_fp64_slow_BS4,done,,1783089824.812338,1.0,6139.856
Clone1,51,resnet50_fp16_fast_BS1,running,1.0,1783089824.812989,,
Clone1,52,resnet50_fp16_fast_BS1,done,,1783093412.8850508,1.0,3588.049
Clone1,53,resnet50_fp32_slow_BS1,running,1.0,1783093412.886184,,
Clone1,54,resnet50_fp32_slow_BS1,done,,1783096678.320949,1.0,3265.407
Clone1,55,resnet50_fp16_slow_BS4,running,1.0,1783096678.3223286,,
Clone1,56,resnet50_fp16_slow_BS4,done,,1783098469.0835679,1.0,1790.75
Clone1,57,mobilenet_v2_fp32_fast_BS16,running,1.0,1783098469.0842266,,
Clone1,58,mobilenet_v2_fp32_fast_BS16,done,,1783099873.088748,1.0,1403.994
Clone1,59,mobilenet_v2_fp64_medium_BS4,running,1.0,1783099873.0900013,,
Clone1,60,mobilenet_v2_fp64_medium_BS4,done,,1783103443.4403765,1.0,3570.331
Clone1,61,mobilenet_v2_fp16_slow_BS64,running,1.0,1783103443.4408932,,
Clone1,62,mobilenet_v2_fp16_slow_BS64,done,,1783104662.7666454,1.0,1219.316
Clone1,63,resnet50_fp32_fast_BS128,running,1.0,1783104662.7676277,,
Clone1,64,resnet50_fp32_fast_BS128,done,,1783106935.054575,1.0,2272.166
Clone1,65,resnet50_fp64_medium_BS32,running,1.0,1783106935.0558536,,
Clone1,66,resnet50_fp64_medium_BS32,done,,1783130075.3422644,1.0,23140.166
Clone1,67,mobilenet_v2_fp32_medium_BS16,running,1.0,1783130075.3433676,,
Clone1,68,mobilenet_v2_fp32_medium_BS16,done,,1783131177.4611225,1.0,1102.11
Clone1,69,resnet50_fp32_fast_BS8,running,1.0,1783131177.4616675,,
Clone1,70,resnet50_fp32_fast_BS8,done,,1783132587.4426377,1.0,1409.975
Clone1,71,resnet50_fp64_medium_BS16,running,1.0,1783132587.4435036,,
Clone1,72,resnet50_fp64_medium_BS16,done,,1783154086.3048413,1.0,21498.765
Clone1,73,mobilenet_v2_fp64_slow_BS32,running,1.0,1783154086.3061717,,
Clone1,74,mobilenet_v2_fp64_slow_BS32,done,,1783159470.5184205,1.0,5384.174
Clone1,75,mobilenet_v2_fp32_medium_BS8,running,1.0,1783159470.5196397,,
Clone1,76,mobilenet_v2_fp32_medium_BS8,done,,1783160529.133181,1.0,1058.609
Clone1,77,mobilenet_v2_fp32_slow_BS128,running,1.0,1783160529.1336389,,
Clone1,78,mobilenet_v2_fp32_slow_BS128,done,,1783161960.89858,1.0,1431.752
Clone1,79,resnet50_fp32_medium_BS8,running,1.0,1783161960.8997874,,
Clone1,80,resnet50_fp32_medium_BS8,done,,1783163512.8881764,1.0,1551.982
Clone1,81,resnet50_fp64_medium_BS64,running,1.0,1783163512.888485,,
Clone1,82,resnet50_fp64_medium_BS64,done,,1783187485.5130095,1.0,23972.524
Clone1,83,mobilenet_v2_fp64_slow_BS16,running,1.0,1783187485.5140371,,
Clone1,84,mobilenet_v2_fp64_slow_BS16,done,,1783193116.7496626,1.0,5631.2
Clone1,85,mobilenet_v2_fp16_fast_BS32,running,1.0,1783193116.7505262,,
Clone1,86,mobilenet_v2_fp16_fast_BS32,done,,1783194326.8419535,1.0,1210.082
Clone1,87,mobilenet_v2_fp64_slow_BS128,running,1.0,1783194326.8428874,,
Clone1,88,mobilenet_v2_fp64_slow_BS128,done,,1783200821.5994306,1.0,6494.708
