dataset,prefix,model,precision,profile,batch,meta_duration_s,log_wall_span_s,state_runner_duration_s,state_to_meta_duration_ratio,state_to_log_wall_span_ratio,log_to_meta_duration_ratio
fixed_2026-03,mobilenet_v2_fp16_fast_BS128,mobilenet_v2,fp16,fast,128,787.7591111040092,819.0,822.33,1.0438851019413045,1.0040659340659341,1.0396579213818398
fixed_2026-03,mobilenet_v2_fp16_fast_BS32,mobilenet_v2,fp16,fast,32,795.8640207999852,821.0,825.056,1.0366796066125363,1.0049403166869673,1.0315832586259506
fixed_2026-03,mobilenet_v2_fp16_fast_BS64,mobilenet_v2,fp16,fast,64,796.1244981760392,818.0,821.833,1.0322920622124558,1.0046858190709047,1.027477488601442
fixed_2026-03,mobilenet_v2_fp16_medium_BS128,mobilenet_v2,fp16,medium,128,870.5529419520171,904.0,907.342,1.042259414993753,1.0036969026548672,1.0384204755807103
fixed_2026-03,mobilenet_v2_fp16_medium_BS32,mobilenet_v2,fp16,medium,32,942.9453275199921,970.0,974.508,1.0334724310719263,1.0046474226804125,1.0286916660917802
fixed_2026-03,mobilenet_v2_fp16_medium_BS64,mobilenet_v2,fp16,medium,64,898.1956461759983,923.0,925.87,1.03081105318404,1.0031094257854822,1.0276157582477765
fixed_2026-03,mobilenet_v2_fp16_slow_BS128,mobilenet_v2,fp16,slow,128,1260.0841102080012,1307.0,1310.728,1.040190880419593,1.0028523335883703,1.0372323477551466
fixed_2026-03,mobilenet_v2_fp16_slow_BS32,mobilenet_v2,fp16,slow,32,1285.207914240018,1319.0,1322.142,1.0287378293821217,1.0023821076573163,1.0262930887567434
fixed_2026-03,mobilenet_v2_fp16_slow_BS64,mobilenet_v2,fp16,slow,64,1271.3593060159765,1304.0,1307.986,1.0288090815953514,1.0030567484662578,1.0256738546133812
fixed_2026-03,mobilenet_v2_fp32_fast_BS128,mobilenet_v2,fp32,fast,128,906.4851490239962,954.0,957.325,1.0560845933667447,1.0034853249475892,1.0524165796065854
fixed_2026-03,mobilenet_v2_fp32_fast_BS32,mobilenet_v2,fp32,fast,32,898.6476762559614,919.0,923.411,1.027556209622897,1.0047997823721435,1.0226477231086075
fixed_2026-03,mobilenet_v2_fp32_fast_BS64,mobilenet_v2,fp32,fast,64,907.16186019202,937.0,940.379,1.0366165524209197,1.003606189967983,1.0328917485592528
fixed_2026-03,mobilenet_v2_fp32_medium_BS128,mobilenet_v2,fp32,medium,128,964.0979601279832,1013.0,1016.497,1.0543503274968664,1.003452122408687,1.0507231027286117
fixed_2026-03,mobilenet_v2_fp32_medium_BS32,mobilenet_v2,fp32,medium,32,1018.5395890559885,1043.0,1045.955,1.0269163920956876,1.0028331735378715,1.0240151793870693
fixed_2026-03,mobilenet_v2_fp32_medium_BS64,mobilenet_v2,fp32,medium,64,984.3132807999791,1017.0,1020.123,1.0363804084517863,1.003070796460177,1.0332076380940989
fixed_2026-03,mobilenet_v2_fp32_slow_BS128,mobilenet_v2,fp32,slow,128,1420.170804608002,1492.0,1495.739,1.0532106385702362,1.0025060321715817,1.050577856662688
fixed_2026-03,mobilenet_v2_fp32_slow_BS32,mobilenet_v2,fp32,slow,32,1402.2621791999845,1434.0,1438.138,1.0255842461789015,1.0028856345885635,1.022633300156553
fixed_2026-03,mobilenet_v2_fp32_slow_BS64,mobilenet_v2,fp32,slow,64,1429.0356984319806,1476.0,1479.027,1.0349825421596346,1.00205081300813,1.032864330554899
fixed_2026-03,mobilenet_v2_fp64_fast_BS128,mobilenet_v2,fp64,fast,128,3306.2783849280095,3624.0,3628.548,1.0974720146195456,1.001254966887417,1.0960964498695438
fixed_2026-03,mobilenet_v2_fp64_fast_BS32,mobilenet_v2,fp64,fast,32,2801.0971831679926,2883.0,2886.479,1.0304815617769612,1.0012067291016302,1.0292395484612842
fixed_2026-03,mobilenet_v2_fp64_fast_BS64,mobilenet_v2,fp64,fast,64,2965.0950399680296,3126.0,3128.677,1.0551692130697214,1.000856365962892,1.0542663752301529
fixed_2026-03,mobilenet_v2_fp64_medium_BS128,mobilenet_v2,fp64,medium,128,3825.294640959997,4148.0,4152.98,1.0856627762816635,1.0012005785920925,1.0843609157800762
fixed_2026-03,mobilenet_v2_fp64_medium_BS32,mobilenet_v2,fp64,medium,32,2907.7836277760216,2992.0,2996.168,1.0303957871485707,1.0013930481283422,1.0289623930128495
fixed_2026-03,mobilenet_v2_fp64_medium_BS64,mobilenet_v2,fp64,medium,64,3079.9792243840056,3244.0,3247.507,1.0543925018356253,1.0010810727496917,1.0532538577914592
fixed_2026-03,mobilenet_v2_fp64_slow_BS128,mobilenet_v2,fp64,slow,128,6138.972793696012,6756.0,6759.945,1.101152461034141,1.0005839253996447,1.100509845382863
fixed_2026-03,mobilenet_v2_fp64_slow_BS32,mobilenet_v2,fp64,slow,32,5282.125900192012,5439.0,5443.048,1.0304654040529664,1.00074425445854,1.0296990459470656
fixed_2026-03,mobilenet_v2_fp64_slow_BS64,mobilenet_v2,fp64,slow,64,5606.461522016005,5919.0,5922.3,1.0563347267690557,1.0005575266092246,1.0557461202144505
fixed_2026-03,resnet50_fp16_fast_BS128,resnet50,fp16,fast,128,924.3030884800246,975.0,977.578,1.0576379243821241,1.0026441025641026,1.0548487959759436
fixed_2026-03,resnet50_fp16_fast_BS32,resnet50,fp16,fast,32,933.9985635519843,964.0,967.535,1.0359063040958834,1.0036670124481328,1.0321215017011596
fixed_2026-03,resnet50_fp16_fast_BS64,resnet50,fp16,fast,64,935.5636294399737,967.0,971.008,1.0378855798202022,1.004144777662875,1.0336015312810354
fixed_2026-03,resnet50_fp16_medium_BS128,resnet50,fp16,medium,128,974.9520894720044,1028.0,1031.057,1.057546325746509,1.0029737354085604,1.054410787053879
fixed_2026-03,resnet50_fp16_medium_BS32,resnet50,fp16,medium,32,1061.2581762560003,1094.0,1096.955,1.0336363238867416,1.0027010968921388,1.03085189304219
fixed_2026-03,resnet50_fp16_medium_BS64,resnet50,fp16,medium,64,1018.7348016960023,1054.0,1056.847,1.0374113049250384,1.002701138519924,1.034616662005939
fixed_2026-03,resnet50_fp16_slow_BS128,resnet50,fp16,slow,128,1465.3319741119994,1544.0,1547.694,1.0562070761732423,1.002392487046632,1.0536861457183953
fixed_2026-03,resnet50_fp16_slow_BS32,resnet50,fp16,slow,32,1462.2182777950002,1506.0,1509.751,1.0325072685294827,1.0024907038512616,1.0299419880532623
fixed_2026-03,resnet50_fp16_slow_BS64,resnet50,fp16,slow,64,1476.6764720960005,1530.0,1533.557,1.0385192890784418,1.0023248366013071,1.0361105014616452
fixed_2026-03,resnet50_fp32_fast_BS128,resnet50,fp32,fast,128,1272.4343227200443,1367.0,1371.118,1.0775550262342835,1.0030124359912216,1.0743187098865783
fixed_2026-03,resnet50_fp32_fast_BS32,resnet50,fp32,fast,32,1280.0948528320296,1315.0,1318.585,1.0300681993079002,1.0027262357414448,1.0272676255909847
fixed_2026-03,resnet50_fp32_fast_BS64,resnet50,fp32,fast,64,1266.9203010560013,1321.0,1324.411,1.0453783074563405,1.0025821347464043,1.0426859518305314
fixed_2026-03,resnet50_fp32_medium_BS128,resnet50,fp32,medium,128,1324.0319041280018,1422.0,1425.546,1.0766704303389538,1.0024936708860759,1.0739922471403884
fixed_2026-03,resnet50_fp32_medium_BS32,resnet50,fp32,medium,32,1396.2459654079867,1435.0,1437.952,1.0298701200399363,1.0020571428571428,1.027755879373796
fixed_2026-03,resnet50_fp32_medium_BS64,resnet50,fp32,medium,64,1352.4146086719993,1409.0,1412.661,1.0445472793192907,1.002598296664301,1.041840269223034
fixed_2026-03,resnet50_fp32_slow_BS128,resnet50,fp32,slow,128,2083.7970808320006,2245.0,2249.74,1.0796348745731725,1.0021113585746102,1.0773601809172493
fixed_2026-03,resnet50_fp32_slow_BS32,resnet50,fp32,slow,32,2101.6679957120004,2160.0,2163.175,1.0292658043104295,1.0014699074074076,1.0277550994767077
fixed_2026-03,resnet50_fp32_slow_BS64,resnet50,fp32,slow,64,2067.921393664001,2158.0,2162.342,1.0456596689919158,1.0020120481927712,1.0435599760281
fixed_2026-03,resnet50_fp64_fast_BS128,resnet50,fp64,fast,128,24597.595435391995,27263.0,27267.235,1.1085325421999104,1.000155338737483,1.1083603708992187
